iputils 20250605-1
iso-codes 4.20.1-1
iwd 3.12-1
jansson 2.15.0-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.1.u8-1
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.3-1
kactivitymanagerd 6.7.3-1
karchive 6.28.0-1
kate 26.04.3-1
kauth 6.28.0-1
kbd 2.10.0-1
kbookmarks 6.28.0-1
kcmutils 6.28.0-1
kcodecs 6.28.0-1
kcolorpicker 0.3.1-6
kcolorscheme 6.28.0-1
kcompletion 6.28.0-1
kconfig 6.28.0-1
kconfigwidgets 6.28.0-1
kcontacts 1:6.28.0-1
kcoreaddons 6.28.0-1
kcrash 6.28.0-1
kdbusaddons 6.28.0-1
kde-cli-tools 6.7.3-1
kde-gtk-config 6.7.3-1
kdeclarative 6.28.0-1
kdeconnect 26.04.3-1
kdecoration 6.7.3-1
kded 6.28.0-1
kdegraphics-mobipocket 26.04.3-1
kdegraphics-thumbnailers 26.04.3-1
kdeplasma-addons 6.7.3-1
kdesu 6.28.0-1
kdnssd 6.28.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keepassxc 2.7.12-3
keyutils 1.6.3-4
kfilemetadata 6.28.0-1
kgamma 6.7.3-1
kglobalaccel 6.28.0-1
kglobalacceld 6.7.3-1
kguiaddons 6.28.0-1
kholidays 1:6.28.0-1
ki18n 6.28.0-1
kiconthemes 6.28.0-1
kidletime 6.28.0-1
kimageannotator 0.7.2-2
kimageformats 6.28.0-1
kinfocenter 6.7.3-1
kio 6.28.0-1
kio-extras 26.04.3-1
kio-fuse 5.1.1-2
kirigami 6.28.0-1
kirigami-addons 1.12.1-1
kitemmodels 6.28.0-1
kitemviews 6.28.0-1
kjobwidgets 6.28.0-1
kmenuedit 6.7.3-1
kmod 34.2-1
knewstuff 6.28.0-1
knighttime 6.7.3-1
knotifications 6.28.0-1
knotifyconfig 6.28.0-1
kpackage 6.28.0-1
kparts 6.28.0-1
kpeople 6.28.0-1
kpipewire 6.7.3-1
kpty 6.28.0-1
kquickcharts 6.28.0-1
kquickimageeditor 0.6.2.1-2
krb5 1.22.2-1
krdp 6.7.3-1
krunner 6.28.0-1
kscreen 6.7.3-1
kscreenlocker 6.7.3-1
kservice 6.28.0-1
ksshaskpass 6.7.3-1
kstatusnotifieritem 6.28.0-1
ksvg 6.28.0-1
ksystemstats 6.7.3-1
ktexteditor 6.28.0-1
ktextwidgets 6.28.0-1
kunitconversion 6.28.0-1
kuserfeedback 6.28.0-1
kwallet 6.28.0-1
kwallet-pam 6.7.3-1
kwayland 6.7.3-1
kwidgetsaddons 6.28.0-1
kwin 6.7.3-1
kwin-x11 6.7.3-1
kwindowsystem 6.28.0-1
kwrited 6.7.3-1
kxmlgui 6.28.0-1
l-smash 2.14.5-4
lame 3.101.r6531-2
lapack 3.12.1-2
layer-shell-qt 6.7.3-1
lcms2 2.19.1-1
ldb 2:4.24.4-1
ldns 1.9.2-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.2-1
lib32-fontconfig 2:2.18.2-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.1.1+r346+g4e03491b401d-4
lib32-glib2 2.88.2-1
lib32-glibc 2.43+r37+gfdf10644d6ee-1
lib32-gmp 6.3.0-2
